,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,16.40572166442871,16.506067276000977,16.5775203704834,16.36710548400879,16.56940269470215,16.485163497924805,0.006444215774536133
RMSE,20.943805166528733,21.225939963727164,21.227238930379567,21.093548176117814,21.101292777570894,21.11836500286483,0.006444215774536133
R2,-7.724761962890625e-05,-4.76837158203125e-07,-1.1205673217773438e-05,-0.00031578540802001953,-0.0005043745040893555,-0.00018181800842285157,0.006444215774536133
MSE,438.6429748535156,450.54052734375,450.5956726074219,444.9377746582031,445.2645568847656,445.9963012695313,0.006444215774536133
