,TEST_adni,TEST_oasis3,TEST_adnidod,TEST_1000brains,TEST_abide,TEST_camcan,TEST_cobre,Avg,Time(sec)
MAE,13.941202294235481,10.385246889766622,6.639730756694842,10.28791642469736,39.45297608151773,10.32320107709074,17.918598394568367,15.564124559795877,44118.82457923889
RMSE,15.959853037370461,12.424928759896014,8.516322653589391,12.607852232908115,40.31213768025883,12.387469104467279,21.84621798926763,17.722111636822532,44118.82457923889
R2,-3.419763404363687,-0.9347026476242257,-2.135270472610859,0.11187345708712959,-27.00237662975994,0.5532067625539274,-1.940793008475505,-4.966832277599023,44118.82457923889
MSE,254.71690897446314,154.37885468849112,72.52775154003984,158.95793792684617,1625.0684443521434,153.44939081413136,477.25724043460053,413.76521839010223,44118.82457923889
