,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,6.515272145052983,6.749674054262388,6.892957780941371,6.74163271127339,6.707715226112526,6.7214503835285315,30455.136984348297
RMSE,8.292792759994947,8.542775233527118,8.638736495720723,8.562839599338492,8.468607869267187,8.501150391569695,30455.136984348297
R2,0.8432079558135495,0.8380189173838217,0.8343778949645977,0.8351558895588972,0.8388520091577787,0.837922533375729,30455.136984348297
MSE,68.7704117602246,72.97900869056431,74.62776824249717,73.3222220039994,71.71731924341411,72.28334598813993,30455.136984348297
