,TEST_adni,TEST_oasis3,TEST_adnidod,TEST_1000brains,TEST_abide,TEST_camcan,TEST_cobre,Avg,Time(sec)
MAE,10.69233226776123,6.58380126953125,6.510129451751709,10.81177043914795,34.06422805786133,12.192391395568848,22.176013946533203,14.718667030334473,4627.236947774887
RMSE,14.126806259155273,8.341174125671387,7.22910737991333,13.397381782531738,35.52132797241211,15.24742317199707,26.345211029052734,17.17263412475586,4627.236947774887
R2,-2.4628145694732666,0.12807166576385498,-1.2591242790222168,-0.0028420686721801758,-20.742107391357422,0.3230847120285034,-3.276764392852783,-3.8989280462265015,4627.236947774887
MSE,199.56665718334582,69.57517787388393,52.25999069213867,179.48982332270197,1261.7650146484375,232.48390197753906,694.070068359375,384.17294772248886,4627.236947774887
