,TEST_adni,TEST_oasis3,TEST_adnidod,TEST_1000brains,TEST_abide,TEST_camcan,TEST_cobre,Avg,Time(sec)
MAE,18.271738052368164,14.11079216003418,9.765746116638184,10.337594985961914,50.14190673828125,16.821325302124023,24.54486846923828,20.570567403520858,0.008104324340820312
RMSE,19.77582725212423,16.107255028426824,10.885892827815796,13.385987519239452,50.71729867378215,19.951472346152723,27.50385493222382,22.618226939966426,0.008104324340820312
R2,-5.785948753356934,-2.2513935565948486,-4.122699737548828,-0.0011368989944458008,-43.32364273071289,-0.15902113914489746,-3.6612143516540527,-8.472151024000985,0.008104324340820312
MSE,391.0833435058594,259.44366455078125,118.5026626586914,179.18466186523438,2572.244384765625,398.0612487792969,756.4620361328125,667.8545717511859,0.008104324340820312
