,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,7.647349733186284,7.746151936294507,8.066945649291823,7.815969372595353,7.816761829143154,7.818635704102225,30455.136984348297
RMSE,9.740341729724898,9.78142203229443,10.194174161917699,9.861805908873004,9.869313089233595,9.889411384408724,30455.136984348297
R2,0.7836928947085687,0.7876411658075982,0.7693667366968333,0.7813493768527218,0.7811358142576753,0.7806371976646795,30455.136984348297
MSE,94.87425701182023,95.67621697385489,103.92118684351043,97.25521578428248,97.40334085331757,97.82604349335712,30455.136984348297
