,TEST_adni,TEST_oasis3,TEST_adnidod,TEST_1000brains,TEST_abide,TEST_camcan,TEST_cobre,Avg,Time(sec)
MAE,14.578495461293972,7.244897472684829,7.608560901358193,16.508197042624737,39.371511394308925,14.996134114312511,17.2831672867078,16.79870909618442,44118.82457923889
RMSE,16.95048764113736,9.194473220051682,9.26079162452642,19.52394138435887,40.19745672202846,18.30978932144081,20.935706991237684,19.196092414968753,44118.82457923889
R2,-3.985464627800085,-0.05944914727026385,-2.707379320001104,-1.1297450608699608,-26.843279557730092,0.023868974089572448,-1.700767471880734,-5.200316601637524,44118.82457923889
MSE,287.3190312723504,84.53833779424755,85.76226151289869,381.1842871798809,1615.8355269193512,335.2483849955479,438.3038272229584,461.170236699605,44118.82457923889
