,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,R_squared,R_squared,R_squared,R_squared,R_squared,R_squared,R_squared,R_squared,Spearman_rank_correlation,Spearman_rank_correlation,Spearman_rank_correlation,Spearman_rank_correlation,Spearman_rank_correlation,Spearman_rank_correlation,Spearman_rank_correlation,Spearman_rank_correlation,age_bias_slope,age_bias_slope,age_bias_slope,age_bias_slope,age_bias_slope,age_bias_slope,age_bias_slope,age_bias_slope
model,Dummy,Dummy,Ridge,Ridge,CorrVec+Ridge,CorrVec+Ridge,SPDNet,SPDNet,Dummy,Dummy,Ridge,Ridge,CorrVec+Ridge,CorrVec+Ridge,SPDNet,SPDNet,Dummy,Dummy,Ridge,Ridge,CorrVec+Ridge,CorrVec+Ridge,SPDNet,SPDNet,Dummy,Dummy,Ridge,Ridge,CorrVec+Ridge,CorrVec+Ridge,SPDNet,SPDNet
harmonization,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized,original,harmonized
held_out_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abide,51.765474053605736,51.765474053605736,39.21087238471007,40.185676912851626,36.88241783834437,38.81820724900891,33.876216018468604,39.17882860824024,-46.174651500105206,-46.174651500105206,-26.59095072050216,-27.962005803610825,-23.73223497524637,-26.252578112044542,-20.296983755597694,-27.089725107846935,,,0.2570592387707188,0.1873613476611591,0.1812283683166913,0.1271811629658974,0.2608466088359754,0.1206870949215117,-1.0000000000000002,-1.0000000000000002,-0.7292574645822562,-0.8028761960894875,-0.7688543984468059,-0.8363135655856213,-0.616836972663988,-0.7910386606540146
adni,19.88646298954352,19.88646298954352,14.438865749748366,14.01135870413878,15.173997909591744,15.82405180735224,8.856150327710193,12.001422944758971,-6.85921336363731,-6.85921336363731,-3.897165972179924,-3.4560927474591185,-4.412004133648591,-4.610700667726498,-1.2800089213450083,-3.603822874402833,,,0.2659398010183396,0.2614977323603482,0.2736035410475583,0.2462906238397188,0.2863580128625693,0.1976183432133035,-0.9999999999999998,-0.9999999999999998,-0.6892456911186636,-0.746871871711227,-0.6642194511013654,-0.7545956351617757,-0.6704360199860562,-0.8080749513923345
adnidod,9.744128939979957,9.744128939979957,7.49395720586785,6.628238342355926,6.386244824058132,7.1743311329136805,6.284876251220704,5.661349366840564,-4.104467703883471,-4.104467703883471,-2.664896329164793,-2.186378741300598,-1.7539941558962011,-2.6321465771155057,-1.083594465933292,-1.3885129624154988,,,0.091743683933022,-0.0143863563637029,0.0527520248012086,0.0315298852236824,0.0753712138355535,0.0323132527919803,-1.0000000000000002,-1.0000000000000002,-0.9640253073219032,-1.0489090279754385,-0.975359958785465,-1.0278201040203936,-1.013771964547913,-1.0314005045744778
camcan,16.87503302170455,16.87503302170455,16.32687735607053,11.879179425759578,14.52375572298202,12.85014825675588,14.404631579580483,11.357687642969235,-0.1702368336176558,-0.1702368336176558,-0.1149859641667829,0.4206783541753945,0.0798709289825526,0.3194047915806909,0.0728539355531581,0.4595511059073786,,,0.7777550983890785,0.7190718523107046,0.7206317003164846,0.6404488314062017,0.7449565260225883,0.7382448855896386,-1.0000000000000002,-1.0000000000000002,-0.5377904692787098,-0.7018564512572742,-0.5263315809754554,-0.7507331998143731,-0.4955087896496903,-0.6464414863103867
cobre,24.7164804952128,24.7164804952128,16.519885951210515,18.185281732358472,15.387063966764437,18.932816415032924,22.805856598007097,21.99945492511029,-3.7185838835843903,-3.7185838835843903,-1.5219297593669523,-2.006503395065846,-1.2508170673788213,-2.273470945863025,-3.359330027331532,-3.1312129885576807,,,0.291238288718124,0.2001812887083889,0.2967358684373519,0.1685630202858544,0.2569348693348912,0.2371288016981809,-1.0000000000000009,-1.0000000000000009,-0.7898603472855312,-0.8851339978676221,-0.7574817718140054,-0.904288573472755,-0.7674899448238175,-0.8434147186990598
oasis3,14.932718658021518,14.932718658021518,7.386034617379562,9.225005638950355,8.610229455998965,10.53594234328987,6.274548852017948,6.318052130086081,-2.58967352506984,-2.58967352506984,-0.0917103036054081,-0.5881988712623449,-0.4545745258592275,-1.065391714395055,0.204120402652646,0.1928317671504629,,,0.4542631246131526,0.4290933908042695,0.3940609443985208,0.3576422417150063,0.4690604121583568,0.4975898079055924,-1.0000000000000004,-1.0000000000000004,-0.5570697118193888,-0.6723760130156224,-0.5763544182086241,-0.691020253943116,-0.797765726303577,-0.7354977453252332
