,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.273313349378713,5.2904758167257615,5.368466986978859,6.0289551448378695,4.878561463986893,5.367954552381619,166.967050075531
RMSE,6.670718061623611,6.650302173105034,7.044871253864499,7.483888089475676,6.284047479508418,6.826765411515448,166.967050075531
R2,0.42907110510935964,0.4581319989711956,0.393611274072892,0.3919549191264923,0.3903031623963289,0.41261449193525374,166.967050075531
MSE,44.498479457671465,44.22651899360554,49.63021098352636,56.008580935795884,39.4892527247161,46.77060861906307,166.967050075531
