,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,7.014876233188266,6.964159213084052,7.139257364481205,7.781777831861118,6.344079613853728,7.048830051293673,0.005784749984741211
RMSE,8.830428713866208,9.038877137655366,9.052117482869425,9.633046493176941,8.058834706980164,8.922660906909622,0.005784749984741211
R2,-0.0004616138037945028,-0.0010129910944689513,-0.0011643126342102406,-0.007415254681077066,-0.0027196442215058347,-0.002554763287011319,0.005784749984741211
MSE,77.9764712706728,81.70129990962886,81.94083092367029,92.79558473970856,64.94481683442807,79.87180073562172,0.005784749984741211
