,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.025075435638428,5.206455230712891,5.529128551483154,5.7925028800964355,4.708914756774902,5.252415370941162,1230.9701125621796
RMSE,6.373262405395508,6.573173522949219,7.027451992034912,7.273324012756348,6.032260894775391,6.655894565582275,1230.9701125621796
R2,0.4788527488708496,0.470628023147583,0.39660632610321045,0.42568910121917725,0.4381824731826782,0.4419917345046997,1230.9701125621796
MSE,40.618471416590275,43.206610018164334,49.38507627774883,52.9012432418056,36.38817197916894,44.499914586695596,1230.9701125621796
