,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,11.739564428312159,10.503932244404115,13.337265577737448,9.391925465838508,11.131055900621117,11.22074872338267,0.009653568267822266
RMSE,13.513798159071943,12.390571953549717,14.770384022449118,10.631210453226066,12.714800075769325,12.804152932813235,0.009653568267822266
R2,-0.2616294679910509,-0.014916095801333684,-0.018259628092591074,-0.0008781727444768794,-0.06149085891560069,-0.07143484470901065,0.009653568267822266
MSE,182.6227406841362,153.52627333609283,218.16424417062018,113.02263570078318,161.66614096678364,165.8004069716832,0.009653568267822266
