,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,9.543835639953613,8.270012855529785,10.830013275146484,9.943949699401855,12.876371383666992,10.292836570739746,79.16148090362549
RMSE,12.108439445495605,10.214129447937012,12.635310173034668,12.495041847229004,15.944724082946777,12.679528999328614,79.16148090362549
R2,-0.012869000434875488,0.3103160262107849,0.2548447251319885,-0.3825829029083252,-0.6692876815795898,-0.09991576671600341,79.16148090362549
MSE,146.6143035888672,104.32843017578125,159.65106201171875,156.12608337402344,254.23423767089844,164.19082336425782,79.16148090362549
