,TEST_adni,TEST_oasis3,TEST_adnidod,TEST_1000brains,TEST_abide,TEST_camcan,TEST_cobre,Avg,Time(sec)
MAE,9.980579376220703,9.95787525177002,5.468608856201172,10.603517532348633,34.100704193115234,8.914363861083984,24.250930786132812,14.75379753112793,47385.203337192535
RMSE,12.640413284301758,12.06053638458252,6.364292621612549,12.850146293640137,35.45790481567383,10.909149169921875,27.881248474121094,16.88052749633789,47385.203337192535
R2,-1.7724506855010986,-0.8228867053985596,-0.7509390115737915,0.07740992307662964,-20.664533615112305,0.6534841060638428,-3.7900094985961914,-3.867132212434496,47385.203337192535
MSE,159.78006178579392,145.4565146309989,40.50421905517578,165.12625881763213,1257.2630615234375,119.00953674316406,777.3639526367188,380.6433721704173,47385.203337192535
