,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,6.26178503036499,6.263042449951172,6.215623378753662,6.1867780685424805,6.217836856842041,6.229013442993164,2623.088612318039
RMSE,8.34901237487793,8.064955711364746,8.091580390930176,8.07289981842041,8.139933586120605,8.143675804138184,2623.088612318039
R2,0.8410748243331909,0.8556321859359741,0.8546936511993408,0.8534799814224243,0.8511178493499756,0.8511996984481811,2623.088612318039
MSE,69.70600708097636,65.0435160425676,65.47366648745643,65.1717171367033,66.25851517959617,66.33068438545997,2623.088612318039
