,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.816588878631592,6.402544021606445,6.489639759063721,7.793277740478516,5.729331016540527,6.4462761878967285,33377.97736167908
RMSE,7.601386070251465,8.199941635131836,8.198563575744629,10.09051513671875,7.55754280090332,8.32958984375,33377.97736167908
R2,0.8682629466056824,0.8507590889930725,0.8508259057998657,0.7710900902748108,0.8716599941253662,0.8425196051597595,33377.97736167908
MSE,57.78106918784079,67.23904019230162,67.21645141736397,101.81851067072513,57.11645587589674,70.23430546882565,33377.97736167908
