,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.967326641082764,7.437241077423096,6.214854717254639,6.758964538574219,6.963746547698975,6.668426513671875,34081.28579497337
RMSE,7.850187301635742,9.43305492401123,8.050802230834961,8.692177772521973,8.796381950378418,8.564520835876465,34081.28579497337
R2,0.8594980239868164,0.8024982213973999,0.8561545610427856,0.8301384449005127,0.8261362314224243,0.8348850965499878,34081.28579497337
MSE,61.62542990711877,88.98252645216066,64.81540824317089,75.5539687526068,77.37634894212322,73.67073645943607,34081.28579497337
