,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.929469585418701,5.948108196258545,7.209515571594238,7.162695407867432,6.3183674812316895,6.513631343841553,3749.055287837982
RMSE,8.116440773010254,7.941196441650391,9.36279582977295,9.21577262878418,8.276213645935059,8.582484245300293,3749.055287837982
R2,0.8498056530952454,0.8600289821624756,0.8054510354995728,0.8090580701828003,0.8460909128189087,0.8340869307518005,3749.055287837982
MSE,65.87660328441898,63.062593834815964,87.66194797791157,84.93045547328045,68.49570444862691,74.00546100381078,3749.055287837982
