,TEST_adni,TEST_oasis3,TEST_adnidod,TEST_1000brains,TEST_abide,TEST_camcan,TEST_cobre,Avg,Time(sec)
MAE,12.752601623535156,9.023626327514648,5.644975662231445,8.908753395080566,31.607391357421875,10.405278205871582,20.69536590576172,14.148284912109375,46177.5899181366
RMSE,17.29200553894043,11.062918663024902,7.395310878753662,11.039438247680664,33.20981216430664,12.877744674682617,24.795347213745117,16.810367584228516,46177.5899181366
R2,-4.188382148742676,-0.533789873123169,-1.364197015762329,0.3190948963165283,-18.00448226928711,0.5171402096748352,-2.7883694171905518,-3.720426516873496,46177.5899181366
MSE,299.0134650523148,122.38816179547992,54.69062423706055,121.86918715456699,1102.8916015625,165.8363037109375,614.8091430664062,354.499783797038,46177.5899181366
