,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,4.452911376953125,5.289648056030273,2.5129706859588623,4.23154878616333,2.5222365856170654,3.801863098144531,29.69958519935608
RMSE,5.337439060211182,6.558441638946533,3.74394154548645,4.9847564697265625,3.28073787689209,4.7810633182525635,29.69958519935608
R2,-0.026066184043884277,0.0064147114753723145,-0.014418363571166992,-0.5138695240020752,-0.3095821142196655,-0.17150429487228394,29.69958519935608
MSE,28.488256454467773,43.013153076171875,14.017096519470215,24.847797393798828,10.7632417678833,24.2259090423584,29.69958519935608
