,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,4.350908371647517,4.957271766969177,3.0446531702648194,3.1867273468936057,2.918777353654109,3.6916676018858454,1265.0048291683197
RMSE,5.610056256221282,6.904225149080301,4.196738357505837,4.296256756745685,3.4534704506577243,4.892149394042166,1265.0048291683197
R2,-0.13355841189926032,-0.10111756412967998,-0.2746260182892284,-0.12455572090253497,-0.4511127042255978,-0.21699408388926028,1265.0048291683197
MSE,31.47273119796754,47.66832490919291,17.61261284136079,18.45782211988295,11.926458153566065,25.42758984439405,1265.0048291683197
