,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,4.2631578947368425,4.739612188365652,2.9051246537396107,3.1710526315789473,2.6952908587257607,3.554847645429362,0.010617733001708984
RMSE,5.5160305290837455,6.778857469165256,3.895364680903433,4.0752583063111345,3.3117142877285923,4.715445054638432,0.010617733001708984
R2,-0.09587947720243384,-0.06149219349884749,-0.09813373928732405,-0.011837580692797722,-0.3344287158746193,-0.12035434131120448,0.010617733001708984
MSE,30.426592797783908,45.95290858725759,15.173865997229903,16.607730263157894,10.967451523545696,23.825709833794996,0.010617733001708984
