,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.504364490509033,5.598903179168701,6.365334510803223,5.7107977867126465,5.358312606811523,5.707542514801025,1430.4649302959442
RMSE,7.073791980743408,6.892954349517822,7.996603965759277,7.169139862060547,6.84177303314209,7.194852638244629,1430.4649302959442
R2,0.1132807731628418,0.09595978260040283,-0.0364079475402832,0.12890297174453735,0.19253486394882202,0.09885408878326415,1430.4649302959442
MSE,50.03853130340576,47.51281929016113,63.945678003449785,51.39656230381557,46.80986417803848,51.94069101577414,1430.4649302959442
