,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.787352849092047,5.864118659987477,6.195142110595638,6.277182317495868,6.031968218418386,6.031152831117883,0.010883569717407227
RMSE,7.526560804542811,7.264579653667521,7.8628011548172125,7.682002483036259,7.628874717920452,7.592963762796852,0.010883569717407227
R2,-0.0038635401157738336,-0.004148401810781799,-0.002014908696524209,-0.00018741520112208754,-0.003939184756500236,-0.002830690116140433,0.010883569717407227
MSE,56.64911754448012,52.77411754448012,61.82364200019489,59.01316214937525,58.19972946172585,57.69195374005125,0.010883569717407227
