,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.82421590193428,5.786990029990978,5.806015550097829,5.826262839004618,5.703394240885538,5.789375712382649,11788.139238357544
RMSE,7.447227327613281,7.1804118026827215,7.507612377429682,7.348049959920296,7.259147511419388,7.348489795813073,11788.139238357544
R2,0.017187313170763052,0.018985050499394696,0.08646901756160541,0.08488283778393468,0.09101297721815083,0.05970743924676973,11788.139238357544
MSE,55.461194869150056,51.55831365610533,56.36424360973537,53.993838213484665,52.6952225925463,54.01456258820434,11788.139238357544
