,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,10.323404165598644,9.914053949008112,10.173332264167572,10.756414765219388,10.919723753171466,10.417385779433037,0.02870917320251465
RMSE,13.149775379976518,12.970941003909793,13.048489463192414,13.866249105924586,13.911697187590702,13.389430428118803,0.02870917320251465
R2,-0.02033010659836254,-0.0008374820218670642,-0.000987758024921792,-0.013919434751494375,-0.00036619979843544037,-0.007288196239016243,0.02870917320251465
MSE,172.91659254383657,168.24531052690838,170.26307727104347,192.2728642675544,193.53531863921904,179.44663264971237,0.02870917320251465
