,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,6.654413071818652,5.858541693199698,6.516423836577856,7.112503519529915,7.29547437313988,6.687471298853201,10988.339163064957
RMSE,8.279668523578756,7.637218663686626,8.283669599136093,9.07863632274874,9.284129460558047,8.512664513941653,10988.339163064957
R2,0.5954893754454058,0.6530307047533881,0.5965833445731781,0.5653630042694527,0.5544656910159027,0.5929864240114655,10988.339163064957
MSE,68.55291086034083,58.32710891696333,68.61918202765152,82.42163748073276,86.19505984040185,72.82317982521806,10988.339163064957
