,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,6.503208637237549,5.914329528808594,6.253783226013184,7.258023262023926,6.954882621765137,6.576845455169678,1215.2842066287994
RMSE,8.06188678741455,7.5154900550842285,7.8215227127075195,9.273791313171387,8.898643493652344,8.314266872406005,1215.2842066287994
R2,0.6164894104003906,0.6640031337738037,0.64034104347229,0.5464761853218079,0.5906956195831299,0.6116010785102844,1215.2842066287994
MSE,64.99401060063788,56.48258891004197,61.17621823574634,86.00320759225399,79.18585221310879,69.5683755103578,1215.2842066287994
