,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,5.595413149262392,5.864957832079023,5.82161865765943,5.554701400286727,5.4062299563771194,5.648584199132939,0.009223461151123047
RMSE,7.552052725773319,8.127757537605683,7.767965811331412,7.517326524539152,7.091115365946805,7.611243593039275,0.009223461151123047
R2,-0.001290410195994962,-0.001729372526925621,-0.0005614744084261325,-0.000480284461122249,-0.0015913116086945234,-0.0011305706402326976,0.009223461151123047
MSE,57.033500372860225,66.06044259010599,60.34129284601368,56.51019807653989,50.28391713316689,58.045870203737344,0.009223461151123047
