,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,3.100135326385498,3.5777320861816406,3.278932809829712,3.2048118114471436,3.0696659088134766,3.2462555885314943,767.5177869796753
RMSE,4.546628475189209,5.296694755554199,4.716466426849365,4.746065616607666,4.746296405792236,4.810430335998535,767.5177869796753
R2,0.6370816230773926,0.574579119682312,0.6311390995979309,0.601205587387085,0.5512844920158386,0.5990579843521118,767.5177869796753
MSE,20.671830702110157,28.0549747986201,22.245057450243706,22.525137946719216,22.527327492123558,23.204865677963348,767.5177869796753
