,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,3.581617931083979,3.8250280241641894,3.5272281334495146,3.627802695119668,3.559686883021876,3.624272733367845,5286.606026649475
RMSE,4.969975507381577,5.6471762816935005,4.912424738806895,5.174421870391662,4.896417265801098,5.120083132814946,5286.606026649475
R2,0.5663508225633296,0.5164163388645204,0.599851691448227,0.5259704964958265,0.5224506174175685,0.5462079933578945,5286.606026649475
MSE,24.700656543972755,31.89059995652163,24.131916814441993,26.774641692787544,23.974902040835104,26.294543409711803,5286.606026649475
