,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,6.851776123046875,7.599747180938721,6.4192962646484375,6.73760986328125,7.138333797454834,6.949352645874024,4922.95183134079
RMSE,8.509495735168457,9.455490112304688,7.676774024963379,8.1665620803833,8.527716636657715,8.467207717895509,4922.95183134079
R2,0.7887068390846252,0.7416996955871582,0.8296541571617126,0.8032819032669067,0.7878684997558594,0.7902422189712525,4922.95183134079
MSE,72.41151669917215,89.40629635876371,58.93285780686598,66.69273141714243,72.72194994412936,72.03307044521473,4922.95183134079
