,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,16.03166253974301,16.101346500417577,16.067521367521366,15.976451517830828,15.964308871205423,16.02825815934364,0.010538101196289062
RMSE,18.516550628158793,18.612447404900628,18.60443176481206,18.42033722230075,18.515276119219482,18.53380862787834,0.010538101196289062
R2,-0.00045601157886632215,-0.0008381340281209404,-0.0004764195044510977,-0.000831323609963075,-1.7455330958426885e-08,-0.0005203812353464787,0.010538101196289062
MSE,342.86264716516774,346.4231984001922,346.124881291548,339.3088233832784,342.81544977093927,343.50700000222514,0.010538101196289062
