,R1,R2,R3,R4,R5,Avg,Time(sec)
MAE,6.527912880340486,6.811873524791776,6.381070677643464,6.599255237075941,6.760461554570688,6.616114774884471,5399.026369333267
RMSE,7.9464003773312255,8.763619174138771,7.5895689072633035,8.288963485986798,8.42972229351172,8.203654847646362,5399.026369333267
R2,0.8157452424242295,0.7781170806879508,0.8335022940624273,0.7973408629120339,0.7927158206154689,0.803484260140422,5399.026369333267
MSE,63.14527895684984,76.80102102933272,57.601556198097896,68.7069156720224,71.0602179457285,67.46299796040628,5399.026369333267
